ServiceApprovalNumber,Provider Approval Number,ServiceName,ProviderLegalName,ServiceAddress,Suburb,State,Postcode,Longitude,Latitude,SEIFA,NumberOfApprovedPlaces,QualityArea1Rating,QualityArea2Rating,QualityArea3Rating,QualityArea4Rating,QualityArea5Rating,QualityArea6Rating,QualityArea7Rating,OverallRating,RatingsIssued,PreviousQualityArea1Rating,PreviousQualityArea2Rating,PreviousQualityArea3Rating,PreviousQualityArea4Rating,PreviousQualityArea5Rating,PreviousQualityArea6Rating,PreviousQualityArea7Rating,PreviousOverallRating,PreviousRatingsIssued,Long Day Care,Preschool/Kindergarten - Part of a School,Preschool/Kindergarten - Stand alone,Outside school Hours Care - After School,Outside school Hours Care - Before School,Outside school Hours Care - Vacation Care,Annual Monday Start Time,Annual Monday End Time,Meal Provision
SE-00001740,PR-00001129,Goodstart Early Learning Seventeen Mile Rocks,Goodstart Early Learning Ltd,292-308 Seventeen Mile Rocks Road,OXLEY,QLD,4075,152.9574654,-27.54998,10,75,Meeting NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,May-21,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Nov-14,Yes,No,No,No,No,No,6:30,18:30,Yes
SE-00001741,PR-00000881,St. Mary MacKillop Early Learning Centre - Mundingburra,Roman Catholic Trust Corporation for the Diocese of Townsville,75 Ross River Road,MUNDINGBURRA,QLD,4812,146.791815,-19.293442,4,75,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Jul-19,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Apr-14,Yes,No,No,No,No,No,6:00,18:00,No
SE-00001742,PR-00000923,Caloundra Christian College Early Learning Centre,Caloundra Christian College Ltd,7 Gregson Place,CALOUNDRA,QLD,4551,153.1186742,-26.7999087,6,44,Exceeding NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,May-15,,,,,,,,,,Yes,Yes,No,No,No,No,7:30,17:30,Yes
SE-00001743,PR-40003922,Excellent Kids Montessori,Excellent Kidz Pty Ltd,2-12 Springvale Circuit,UNDERWOOD,QLD,4119,153.1123246,-27.612439,9,111,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,May-17,,,,,,,,,,Yes,No,Yes,No,No,No,6:30,18:00,Yes
SE-00001744,PR-40001112,Milestones Early Learning The Lakes,Affinity Education Group Limited,5 - 7 Martinez Avenue,WEST END,QLD,4810,146.7825055,-19.269289,8,125,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Nov-17,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Jan-13,Yes,No,Yes,No,No,No,6:00,18:00,Yes
SE-00001745,PR-00001129,Goodstart Early Learning South Innisfail - Mourilyan Road,Goodstart Early Learning Ltd,195 Mourilyan Road,EAST INNISFAIL,QLD,4860,146.0327934,-17.5446019,2,58,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Apr-14,,,,,,,,,,Yes,No,No,No,No,No,6:00,18:00,Yes
SE-00001749,PR-40009754,Highfields Child Care Centre,Vesta One Pty Ltd asTrustee for Vesta One Trust,52 Diosma Drive,HIGHFIELDS,QLD,4352,151.9592982,-27.4606884,9,87,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,May-19,Working Towards NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Meeting NQS,Working Towards NQS,Jul-15,Yes,No,No,No,No,No,6:30,18:30,Yes
SE-00001753,PR-00000724,Happy Tots Early Education on Pickering,Pickering Street Early Education Centre Pty Ltd,191 Pickering Street,ENOGGERA,QLD,4051,152.9890027,-27.4181998,10,75,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Oct-18,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Dec-14,Yes,No,Yes,No,No,No,6:15,18:15,Yes
SE-00001755,PR-00000830,Kitiwah Place Early Learning Centre,Dreemskerry Pty Ltd,7 Power Rd,GYMPIE,QLD,4570,152.6551085,-26.199621,2,149,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Nov-18,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,May-13,Yes,No,No,No,No,No,6:30,18:30,No
SE-00001756,PR-40005733,Clayfield Early Learning Centre,Clayfield Childcare Pty Ltd as Trustee for Clayfield Childcare Trust,32 Widdop Street,CLAYFIELD,QLD,4011,153.0623626,-27.4151972,10,75,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Apr-18,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Nov-13,Yes,No,Yes,No,No,No,6:00,18:00,Yes
