ServiceApprovalNumber,Provider Approval Number,ServiceName,ProviderLegalName,ServiceAddress,Suburb,State,Postcode,Longitude,Latitude,SEIFA,NumberOfApprovedPlaces,QualityArea1Rating,QualityArea2Rating,QualityArea3Rating,QualityArea4Rating,QualityArea5Rating,QualityArea6Rating,QualityArea7Rating,OverallRating,RatingsIssued,PreviousQualityArea1Rating,PreviousQualityArea2Rating,PreviousQualityArea3Rating,PreviousQualityArea4Rating,PreviousQualityArea5Rating,PreviousQualityArea6Rating,PreviousQualityArea7Rating,PreviousOverallRating,PreviousRatingsIssued,Long Day Care,Preschool/Kindergarten - Part of a School,Preschool/Kindergarten - Stand alone,Outside school Hours Care - After School,Outside school Hours Care - Before School,Outside school Hours Care - Vacation Care,Annual Monday Start Time,Annual Monday End Time,Meal Provision
SE-00000346,PR-40019391,Treehouse Early Learning Centre Kingston,Targut Pty Ltd as Trustee for the YNE Family Trust,6 Juers Street,KINGSTON,QLD,4114,153.1166496,-27.660627,1,74,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Dec-20,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Sep-15,Yes,No,No,No,No,No,6:00,18:00,Yes
SE-00000347,PR-00000890,Labrador Playschool Early Learning Centre,Watson Childcare Investments Pty Ltd as Trustee for Watson Property Trust,175 Government Road,LABRADOR,QLD,4215,153.3967641,-27.9483594,4,92,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Feb-20,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Jul-14,Yes,No,Yes,Yes,Yes,Yes,6:30,18:30,No
SE-00000348,PR-40000742,Riversdale Early Learning Centre,Childcare Centres of Excellence Pty Ltd,47 Riversdale Road,OXENFORD,QLD,4210,153.3062882,-27.8992364,9,150,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Oct-16,,,,,,,,,,Yes,No,No,No,No,No,6:30,18:30,Yes
SE-00000349,PR-40001112,Aussie Kindies Early Learning Meadowbrook,Affinity Education Group Limited,18-22 Logandowns Drive,LOGANLEA,QLD,4131,153.1373365,-27.6678664,2,75,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Apr-18,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Nov-13,Yes,No,Yes,No,No,No,6:00,18:00,Yes
SE-00000351,PR-40006435,Parkside Early Learning Centre,Parkside Early Learning Centre Pty Ltd as Trustee for Parkside Trust,9 Tozer Park Road,GYMPIE,QLD,4570,152.6736337,-26.1866033,2,75,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,May-21,Working Towards NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Mar-17,Yes,No,No,No,No,No,6:00,18:00,Yes
SE-00000352,PR-40001894,Learning Avenues Child Care Centre and Kindergarten,Carlton House Child Care Pty Ltd as Trustee for Carlton House Child Care Trust,162 Gooding Drive,MERRIMAC,QLD,4226,153.3714353,-28.0436015,9,150,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Jan-20,Working Towards NQS,Working Towards NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Jan-16,Yes,No,No,No,No,No,6:30,18:30,Yes
SE-00000354,PR-00001129,Goodstart Early Learning Manunda,Goodstart Early Learning Ltd,160-162 Hoare Street,MANUNDA,QLD,4870,145.7415459,-16.9224672,5,68,Exceeding NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Apr-15,,,,,,,,,,Yes,No,Yes,No,No,No,6:30,18:30,Yes
SE-00000355,PR-00000898,Community Kids Enoggera,G8 Education Limited,62 Sicklefield Road,ENOGGERA,QLD,4051,152.9976963,-27.4183652,10,74,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Apr-15,,,,,,,,,,Yes,No,Yes,No,No,No,6:15,18:15,Yes
SE-00000356,PR-00006699,Adeona Mackay,AM Management pty Ltd,63 Celeber Drive,ANDERGROVE,QLD,4740,149.1764198,-21.0970442,5,45,Exceeding NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Oct-17,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,Aug-12,Yes,No,No,No,No,No,7:00,17:30,Yes
SE-00000357,PR-00007759,Creative Kids Educare Centre,DENIZEN ENTERPRISES PTY LTD,59 Mungera Street,BIGGERA WATERS,QLD,4216,153.3946449,-27.9246104,7,91,Working Towards NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Jan-18,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Feb-13,Yes,No,Yes,No,No,No,6:30,18:30,Yes
SE-00000358,PR-40009072,KinderMarlee,Eadie & Eadie Pty Ltd ATF The Eadie Family Trust,10 Mill Street,LANDSBOROUGH,QLD,4550,152.9644739,-26.8074277,5,60,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Nov-19,Exceeding NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Sep-17,Yes,No,No,No,No,No,6:30,18:00,No
SE-00000359,PR-40000815,Guppy's Early Learning Centre Beerwah,Guppys ELC Pty Ltd ATF Parkross Family Trust,10 Greber Road,BEERWAH,QLD,4519,152.9546807,-26.8510821,5,124,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,May-15,,,,,,,,,,Yes,No,No,No,No,No,6:30,18:30,Yes
SE-00000361,PR-00006706,Bo Peep Child Care Centre,Civic (NQ) Pty Ltd,11 Warburton Street,NORTH WARD,QLD,4810,146.8100109,-19.2493924,8,30,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,Oct-17,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Nov-12,Yes,No,Yes,Yes,No,Yes,6.3,18.3,Yes
SE-00000362,PR-40002928,Sparrow Early Learning Brighton,Sparrow Group Qld Pty Ltd,10 Nathan Street,BRIGHTON,QLD,4017,153.0568197,-27.3003194,8,80,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Dec-17,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Feb-14,Yes,No,Yes,No,No,Yes,6:30,18:00,No
SE-00000363,PR-00001129,Goodstart Early Learning Goodna,Goodstart Early Learning Ltd,14 Kingsford Street,GOODNA,QLD,4300,152.8886457,-27.6195781,7,75,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Apr-15,,,,,,,,,,Yes,No,No,No,No,No,6:00,18:00,Yes
SE-00000364,PR-00001129,Goodstart Early Learning Fernvale,Goodstart Early Learning Ltd,4 Davillea Court,FERNVALE,QLD,4306,152.6577713,-27.4590283,8,74,Exceeding NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Mar-20,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Jul-13,Yes,No,No,No,No,No,6:00,18:00,Yes
SE-00000365,PR-00000919,Little Ted's Child Care Centre - Oxley,Child Care Enterprises Pty Ltd ATF The Little Ted's Unit Trust,20 Ellen Street,OXLEY,QLD,4075,152.97836,-27.5517963,10,40,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Sep-18,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Meeting NQS,May-13,Yes,No,No,No,No,No,6:30,18:30,No
SE-00000366,PR-40001626,Avenues Early Learning Centre Jindalee,H C Yang Childcare Pty Ltd as Trustee for H C Yang Childcare Trust,110 Burrendah Road,JINDALEE,QLD,4074,152.9357925,-27.5301848,10,74,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Jul-19,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Jan-13,Yes,No,No,No,No,No,6:30,18:00,Yes
SE-00000367,PR-00001129,Goodstart Early Learning Kallangur - Duffield Road East 1,Goodstart Early Learning Ltd,52 Duffield Road,KALLANGUR,QLD,4503,153.0012883,-27.2512595,6,91,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,May-19,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Jul-15,Yes,No,No,No,No,No,6:30,18:30,Yes
SE-00000369,PR-00000809,Jellybabies Childcare Centre - Sunshine Beach,Jelly Babies Childcare Pty Ltd,100-102 Ben Lexcen Drive,SUNSHINE BEACH,QLD,4567,153.1028465,-26.4035434,9,86,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,May-17,Working Towards NQS,Meeting NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Feb-15,Yes,No,No,No,No,No,6:30,18:30,Yes
SE-00000370,PR-00000823,Guardian Childcare & Education Brassall,Guardian Community Early Learning Centres Pty Ltd,30A Workshops Street,BRASSALL,QLD,4305,152.7441919,-27.5991794,3,74,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Nov-20,Working Towards NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Working Towards NQS,Exceeding NQS,Meeting NQS,Working Towards NQS,Jun-19,Yes,No,No,No,Yes,No,6:30,18:30,No
SE-00000371,PR-00000411,Children's Educare,Children's Educare Centre Pty Ltd,6 Margaret Street,EAST TOOWOOMBA,QLD,4350,151.9740455,-27.5639807,5,40,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Dec-15,Working Towards NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Jul-14,Yes,No,No,No,No,No,7:30,17:30,Yes
SE-00000372,PR-00000305,Durack Early Childhood and Pre-School Centre,Knight Odlum Child Care Centre Pty Ltd,56 Durella Street,DURACK,QLD,4077,152.9771936,-27.5905451,1,70,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Dec-18,Working Towards NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Jul-15,Yes,No,No,Yes,Yes,Yes,6:30,18:30,Yes
SE-00000373,PR-00001176,Casia House,Family 4 Care Pty Ltd,10 George Street,CABOOLTURE,QLD,4510,152.948313,-27.0836763,2,21,Exceeding NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Aug-14,,,,,,,,,,Yes,No,No,No,No,No,7:00,18:00,No
SE-00000374,PR-40022856,Mother Duck Childcare and Preschool Lawnton,MOTHER DUCK (LAWNTON) PTY. LTD.,Cnr Todds Rd and Station Rd,LAWNTON,QLD,4501,152.9815859,-27.2829365,4,134,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Aug-19,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Jun-14,Yes,No,No,No,No,No,6:00,18:00,Yes
SE-00000375,PR-40002197,Busy Bees at Toowoomba West,FEL Child Care Centres 2 Pty Ltd,10 Moran Street,WILSONTON,QLD,4350,151.9284732,-27.5470672,5,63,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Dec-15,Working Towards NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Mar-14,Yes,No,Yes,No,No,No,6:30,18:00,No
SE-00000376,PR-40000742,Benowa Early Learning Centre,Childcare Centres of Excellence Pty Ltd,15 Sapium Road,BENOWA,QLD,4217,153.3954742,-27.9963129,8,140,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Jan-19,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Jan-13,Yes,No,Yes,Yes,Yes,Yes,7:00,19:00,Yes
SE-00000377,PR-40001112,Aussie Kindies Early Learning Tugun,Affinity Education Group Limited,32-34 Toolona Street,TUGUN,QLD,4224,153.4924903,-28.1452776,7,75,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,Dec-17,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Nov-13,Yes,No,Yes,Yes,Yes,No,6:30,18:30,No
SE-00000378,PR-00001129,Goodstart Early Learning Toowoomba - Spring Street,Goodstart Early Learning Ltd,332 Spring Street,KEARNEYS SPRING,QLD,4350,151.9389001,-27.5996715,5,68,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Nov-17,Meeting NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Jul-17,Yes,No,No,No,No,No,6:30,18:30,Yes
SE-00000379,PR-00000012,The Mike Reynolds Early Childhood Centre,Townsville Public Sector Child Care Centre Association Inc,12 Leichhardt Street,NORTH WARD,QLD,4810,146.8156031,-19.2527497,8,71,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Dec-18,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Jan-14,Yes,No,Yes,No,No,No,6:30,17:30,Yes
SE-00000380,PR-00000308,Griffith University Boronia Child Care Centre,Griffith University,"Recreation Road Nathan Campus, Griffith University",NATHAN,QLD,4111,153.0526903,-27.558072,9,60,Meeting NQS,Working Towards NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Nov-16,,,,,,,,,,Yes,No,No,No,No,No,7:30,18:00,No
SE-00000381,PR-00008029,C&K QUT Kelvin Grove Community Childcare Centre,The Creche and Kindergarten Association Limited,9 School Street,KELVIN GROVE,QLD,4059,153.0133201,-27.452474,10,66,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Jan-15,,,,,,,,,,Yes,No,Yes,No,No,No,7:00,18:00,Yes
SE-00000382,PR-00000101,Lady Gowrie Thursday Island Child Centre,The Gowrie (Qld) Inc.,86 Victoria Parade,THURSDAY ISLAND,QLD,4875,142.2122638,-10.587188,1,59,Working Towards NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Nov-16,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Jul-13,Yes,No,No,No,No,No,0:00,23:59,Yes
SE-00000383,PR-00000693,Toombul Early Childhood Centre,The Uniting Church in Australia Property Trust (Q.),71 Hows Road,NUNDAH,QLD,4012,153.0645706,-27.4085321,9,59,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Jan-14,,,,,,,,,,Yes,No,No,No,No,No,7:00,18:00,Yes
SE-00000384,PR-00008029,C&K Yuingi Community Childcare Centre,The Creche and Kindergarten Association Limited,113 Cliveden Avenue,OXLEY,QLD,4075,152.9704743,-27.5504644,10,70,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Nov-20,Exceeding NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Sep-13,Yes,No,No,No,No,No,7:00,18:00,Yes
SE-00000385,PR-00000693,Forest Lake Child Care Centre,The Uniting Church in Australia Property Trust (Q.),130 Woogaroo Street,FOREST LAKE,QLD,4078,152.9583359,-27.6116082,7,59,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Apr-19,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,Apr-14,Yes,No,No,No,No,No,7:00,18:00,Yes
SE-00000386,PR-00001082,Karinya Montessori Children's House ,Karinya Montessori Pty Ltd and Powder Keg Enterprises Pty Ltd,11 Kauri Street,COOROY,QLD,4563,152.9149376,-26.4118969,6,55,Exceeding NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Oct-19,Exceeding NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,May-15,Yes,No,No,No,No,No,7:00,17:30,No
SE-00000387,PR-40001487,Kool Kids Early Learning Centre- Miami,Kool Kids Operations Pty Ltd,23 Pacific Avenue,MIAMI,QLD,4220,153.4355584,-28.0629294,8,75,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Aug-19,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Dec-14,Yes,No,No,No,No,No,6:30,18:30,Yes
SE-00000388,PR-40001480,Creative Garden Early Learning Centre Arundel,CG Operations Pty Ltd,190 Napper Road,ARUNDEL,QLD,4214,153.3612698,-27.9460397,8,118,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Nov-16,,,,,,,,,,Yes,No,Yes,No,No,No,6:30,18:30,Yes
SE-00000390,PR-00001129,Goodstart Early Learning Maleny,Goodstart Early Learning Ltd,4 Walkers Drive,MALENY,QLD,4552,152.8515347,-26.7691901,7,74,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Jan-16,,,,,,,,,,Yes,No,No,No,No,No,7:00,18:30,Yes
SE-00000391,PR-00000081,Busy Learners Early Education Centre and Preschool,Queensland Child Care Service Pty Ltd ATF the Queensland Child Care Service Trust No.2,41 Yulan Street,INALA,QLD,4077,152.9715778,-27.5804244,1,75,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Dec-14,,,,,,,,,,Yes,No,No,No,No,No,6:00,18:00,Yes
SE-00000392,PR-40005129,Little Gumboots Early Learning Centre,Marvin Enterprises Pty Ltd as Trustee for The Marvin Trust,151 Bryant Street,TULLY,QLD,4854,145.92063,-17.946661,2,44,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,May-17,Working Towards NQS,Working Towards NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Apr-14,Yes,No,Yes,No,No,No,6:00,18:00,No
SE-00000393,PR-00001129,Goodstart Early Learning Kelso - Riverway Drive,Goodstart Early Learning Ltd,1259 Riverway Drive,KELSO,QLD,4815,146.7313348,-19.3660313,3,75,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Aug-16,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Nov-12,Yes,No,No,Yes,Yes,Yes,6:00,18:00,Yes
SE-00000394,PR-00001129,Goodstart Early Learning Mossman - Johnston Road,Goodstart Early Learning Ltd,14 Johnston Road,MOSSMAN,QLD,4873,145.3712622,-16.4643334,3,62,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,May-15,,,,,,,,,,Yes,No,No,No,No,No,6:30,18:30,Yes
SE-00000395,PR-00000898,Community Kids Heatley,G8 Education Limited,121 Charles Street,HEATLEY,QLD,4814,146.7617005,-19.2924355,6,75,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Mar-17,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Jan-13,Yes,No,Yes,Yes,Yes,Yes,6:00,18:00,MT/AT
SE-00000396,PR-00000854,Mount Sheridan Early Education Centre,Ramsay Bourne Acquisitions (No. 2) Pty Limited,2-4 Kangaroo Street,BENTLEY PARK,QLD,4869,145.7326699,-17.0040447,4,75,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Oct-14,,,,,,,,,,Yes,No,Yes,No,No,No,6:30,18:00,MT/AT
SE-00000397,PR-40013118,Mother Duck Child Care and Pre School Centre Gaythorne,Kthorne Pty Ltd,23 Heliopolis Parade,MITCHELTON,QLD,4053,152.9786648,-27.4164177,9,110,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Apr-15,,,,,,,,,,Yes,No,No,No,No,No,6:30,18:00,Yes
SE-00000398,PR-00001129,Goodstart Early Learning Logan Village ,Goodstart Early Learning Ltd,24 North Street,LOGAN VILLAGE,QLD,4207,153.1070794,-27.7658734,3,135,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Jun-15,,,,,,,,,,Yes,No,No,No,No,No,6:00,18:00,Yes
SE-00000399,PR-00001218,Meadowbrook Early Learning Centre,Apples & Sunshine Pty Ltd ATF Meadowbrook Childcare Centre Unit Trust,16 Yeates Crescent,MEADOWBROOK,QLD,4131,153.1403976,-27.6662332,2,75,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Mar-19,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Dec-15,Yes,No,No,No,No,No,6:00,18:00,No
SE-00000400,PR-40008873,Seeds Early Learning - Shailer Park,Tustin Developments No.3 Pty Ltd as Trustee for Tustin Investment Trust No. 3,359 Chatswood Road,SHAILER PARK,QLD,4128,153.1742641,-27.6418536,9,56,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Jan-19,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,May-14,Yes,No,No,No,No,No,6:30,18:30,Yes
SE-00000401,PR-00000895,A Montessori Educational Child Care - Gold Coast,Mary-Anne Hossack ATF the Hossack Family Trust,9 Robert Street,MUDGEERABA,QLD,4213,153.3630434,-28.0753819,9,75,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Apr-20,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Mar-13,Yes,No,No,Yes,Yes,Yes,6:00,18:00,Yes
SE-00000402,PR-40001317,Robina Town Child Care Centre,Global Sky Childcare Pty Ltd,39 Thorngate Drive,ROBINA,QLD,4226,153.391351,-28.0691836,9,80,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Jul-18,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Nov-12,Yes,No,No,No,No,No,6:30,18:00,Yes
SE-00000403,PR-00001129,Goodstart Early Learning Currumbin,Goodstart Early Learning Ltd,189 Galleon Way,CURRUMBIN WATERS,QLD,4223,153.4584142,-28.1577262,8,74,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Jul-19,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Feb-14,Yes,No,No,No,No,No,6:45,18:15,Yes
SE-00000404,PR-00000375,Kids World Gilston,Kids World Gilston Pty Ltd,590 Worongary Road,GILSTON,QLD,4211,153.3105374,-28.0385259,7,116,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Mar-18,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Dec-12,Yes,No,Yes,Yes,Yes,Yes,6:15,18:15,Yes
SE-00000405,PR-40000955,Mojo Montessori Early Learning Centre,Mojo Madness Pty Ltd,65-67 Wembley Road,LOGAN CENTRAL,QLD,4114,153.1115956,-27.6408969,1,64,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,May-19,Working Towards NQS,Working Towards NQS,Working Towards NQS,Meeting NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Jun-15,Yes,No,Yes,No,No,No,6:30,18:00,Yes
